Instância,S0,S1,S2,EA0,TD0,EA,TD,AE,VNS/MP,VNS
loose-equal_20x10_1,27557.6,7571.57,7560.13,2272.56,25285.1,1659.38,5900.75,5022.49,5753.52,4651.31
loose-equal_20x10_2,15908.4,2491.29,2150.92,1095.13,14813.3,713.86,1437.06,1984.47,1816.53,1597.89
tight-tard_20x2_1,2406.39,1909.38,1958.78,177.12,2229.27,114.35,1844.43,1682.72,1685.84,1674.6
tight-tard_20x2_2,2031.65,1566.7,1565.1,466.01,1565.64,249.71,1315.39,1457.13,1452.05,1451.61
tight-tard_20x5_1,9186.55,3929.74,3940.68,78.26,9108.29,61.26,3879.42,3640.00,3990.04,3620.61
tight-tard_20x5_2,8007.22,2164.05,2184.68,675.12,7332.1,782.33,1402.35,1873.80,1911.91,1792.78
tight-tard_20x10_1,20684.0,5625.15,5630.92,466.73,20217.2,499.81,5131.11,4778.16,5290.52,4445.59
tight-tard_20x10_2,19875.2,4312.4,4376.68,1440.58,18434.6,1847.27,2529.41,3270.09,3491.52,3085.54
loose-tard_20x2_1,1979.16,1423.04,1423.04,230.61,1748.55,129.64,1293.4,1206.97,1204.92,1206.4
loose-tard_20x2_2,1550.48,924.58,924.58,85.77,1464.71,39.64,884.94,774.22,788.36,769.35
loose-tard_20x5_1,9069.26,3811.51,3826.42,391.03,8678.23,371.57,3454.85,2973.23,3720.83,2931.11
loose-tard_20x5_2,11812.2,5160.82,4337.91,91.0,11721.2,87.32,4250.59,3654.86,3719.80,3627.51
loose-tard_20x10_1,27633.4,7782.39,7834.82,310.54,27322.8,226.73,7608.09,5100.46,6169.68,4817.32
loose-tard_20x10_2,10112.9,2264.06,2249.09,2130.45,7982.47,1880.51,368.58,1634.58,1588.70,1401.28
