instancia,N5,N7 (apos N5),t(s.),S0,iteracoes,earliness0,tardiness0,earliness,tardiness,S Dos Santos(2010),S Wang & Li(2014),S Ahmadian (2021)
tight-equal_20x5_2,9636.16,9629.51,_,9636.16,2,38.31,9597.85,40.79,9588.72,6741.16,6964.32,6613.62
tight-equal_20x10_1,20283.1,20266.3,_,20284.2,3,565.39,19718.8,565.39,19700.9,10607.2,11073.1,10378.8
tight-equal_20x10_2,14191.9,14175.1,_,14247.3,3,5255.64,8991.69,5228.32,8946.81,7310.32,7317.74,6839.3
loose-equal_20x2_1,3334.3,3237.34,_,3336.11,7,33.54,3302.57,26.27,3211.07,2548.95,2551.22,2548.95
loose-equal_20x2_2,4072.71,3917.73,_,4080.6,2,378.11,3702.49,222.89,3694.84,3069.13,3070.16,3069.13
loose-equal_20x5_1,15078.9,14846.9,_,15379.3,6,746.09,14633.2,651.42,14195.5,7545.44,7758.02,7524.13
loose-equal_20x5_2,12518.1,12518.1,_,12663.8,1,1064.94,11598.8,1058.22,11459.9,7252.81,7302.01,7059.38
loose-equal_20x10_1,17484.0,17484.0,_,17540.4,1,2664.32,14876.1,2660.85,14823.2,5260.48,5476.47,4651.31
loose-equal_20x10_2,6259.04,6244.91,_,6272.51,4,1336.57,4935.94,1336.57,4908.34,1987.65,1718.08,1597.89
tight-tard_20x2_1,2559.17,2451.01,_,2562.77,4,164.95,2397.82,161.35,2289.66,1671.87,1682.94,1674.6
tight-tard_20x2_2,2719.57,2535.74,_,2731.76,6,460.75,2271.01,411.35,2124.39,1448.66,1459.57,1451.61
tight-tard_20x5_1,5664.93,5574.76,_,5665.17,3,86.51,5578.66,86.27,5488.49,3672.18,3669.09,3620.61
tight-tard_20x5_2,3673.16,3673.16,_,3753.47,1,736.76,3016.71,726.06,2947.1,1858.19,1976.11,1792.78
tight-tard_20x10_1,13398.0,13265.2,_,13400.7,2,466.58,12934.1,465.28,12799.9,3853.81,5536.64,4445.59
tight-tard_20x10_2,11601.1,11474.5,_,11719.8,3,1662.42,10057.4,1655.74,9818.74,3358.61,3245.9,3085.54
loose-tard_20x2_1,1971.8,1767.99,_,1979.16,10,230.61,1748.55,164.12,1603.87,1206.97,1205.59,1206.4
loose-tard_20x2_2,1386.43,1206.69,_,1388.35,10,67.02,1321.33,54.4,1152.29,769.35,790.12,769.35
loose-tard_20x5_1,7820.26,7247.96,_,7820.26,7,400.79,7419.47,400.79,6847.17,2938.24,3517.2,2931.11
loose-tard_20x5_2,8357.84,8278.47,_,8418.05,3,86.28,8331.77,86.28,8192.19,3722.61,3684.67,3627.51
loose-tard_20x10_1,14363.5,14363.5,_,14406.5,1,250.51,14156.0,249.78,14113.8,5093.89,5478.21,4817.32
loose-tard_20x10_2,4778.34,4778.34,_,4797.28,1,2870.56,1926.72,2851.62,1926.72,1570.64,1599.55,1401.28
