 ,S,t(s.),S0,iteracoes,earliness0,tardiness0,earliness,tardiness,S Dos Santos(2010),S Wang & Li(2014),S Ahmadian (2021),earliness diff,tardiness diff
loose-tard_15x10_1,1635.51,_,1635.62,2,1574.0,61.62,1573.45,62.06,297.19,296.6,277,-0.03%,0.71%
loose-tard_15x10_2,2809.5,_,2809.5,1,395.13,2414.37,395.13,2414.37,713.97,664.13,601.24,0.0%,0.0%
tight-equal_20x2_1,2362.36,_,2362.36,1,25.46,2336.9,25.46,2336.9,1937.49,1939.11,1936.45,0.0%,0.0%
tight-equal_20x2_2,1342.89,_,1347.71,2,144.88,1202.83,140.06,1202.83,941.69,959.65,943.7,-3.33%,0.0%
tight-equal_20x5_1,5344.29,_,5477.57,15,2460.86,3016.71,2397.19,2947.1,2866.94,2935.95,2865.95,-2.59%,-2.31%
tight-equal_20x5_2,9636.16,_,9636.16,1,38.31,9597.85,38.31,9597.85,6741.16,6964.32,6613.62,0.0%,0.0%
tight-equal_20x10_1,20283.1,_,20284.2,3,565.39,19718.8,565.39,19717.7,10607.2,11073.1,10378.8,0.0%,-0.01%
tight-equal_20x10_2,14191.9,_,14247.3,3,5255.64,8991.69,5228.32,8963.57,7310.32,7317.74,6839.3,-0.52%,-0.31%
loose-equal_20x2_1,3334.3,_,3336.11,2,33.54,3302.57,31.73,3302.57,2548.95,2551.22,2548.95,-5.4%,0.0%
loose-equal_20x2_2,4072.71,_,4080.6,3,378.11,3702.49,377.87,3694.84,3069.13,3070.16,3069.13,-0.06%,-0.21%
loose-equal_20x5_1,15078.9,_,15379.3,9,746.09,14633.2,651.42,14427.4,7545.44,7758.02,7524.13,-12.69%,-1.41%
loose-equal_20x5_2,12518.1,_,12663.8,3,1064.94,11598.8,1058.22,11459.9,7252.81,7302.01,7059.38,-0.63%,-1.2%
loose-equal_20x10_1,17484.0,_,17540.4,6,2664.32,14876.1,2660.85,14823.2,5260.48,5476.47,4651.31,-0.13%,-0.36%
loose-equal_20x10_2,6259.04,_,6272.51,2,1336.57,4935.94,1336.57,4922.47,1987.65,1718.08,1597.89,0.0%,-0.27%
tight-tard_20x2_1,2559.17,_,2562.77,3,164.95,2397.82,161.35,2397.82,1671.87,1682.94,1674.6,-2.18%,0.0%
tight-tard_20x2_2,2719.57,_,2731.76,3,460.75,2271.01,457.56,2262.01,1448.66,1459.57,1451.61,-0.69%,-0.4%
tight-tard_20x5_1,5664.93,_,5665.17,2,86.51,5578.66,86.27,5578.66,3672.18,3669.09,3620.61,-0.28%,0.0%
tight-tard_20x5_2,3673.16,_,3753.47,12,736.76,3016.71,726.06,2947.1,1858.19,1976.11,1792.78,-1.45%,-2.31%
tight-tard_20x10_1,13398.0,_,13400.7,2,466.58,12934.1,465.28,12932.7,3853.81,5536.64,4445.59,-0.28%,-0.01%
tight-tard_20x10_2,11601.1,_,11719.8,8,1662.42,10057.4,1655.74,9945.37,3358.61,3245.9,3085.54,-0.4%,-1.11%
loose-tard_20x2_1,1971.8,_,1979.16,3,230.61,1748.55,229.25,1742.55,1206.97,1205.59,1206.4,-0.59%,-0.34%
loose-tard_20x2_2,1386.43,_,1388.35,2,67.02,1321.33,65.1,1321.33,769.35,790.12,769.35,-2.86%,0.0%
loose-tard_20x5_1,7820.26,_,7820.26,1,400.79,7419.47,400.79,7419.47,2938.24,3517.2,2931.11,0.0%,0.0%
loose-tard_20x5_2,8357.84,_,8418.05,7,86.28,8331.77,86.28,8271.56,3722.61,3684.67,3627.51,0.0%,-0.72%
loose-tard_20x10_1,14363.5,_,14406.5,6,250.51,14156.0,249.78,14113.8,5093.89,5478.21,4817.32,-0.29%,-0.3%
loose-tard_20x10_2,4778.34,_,4797.28,5,2870.56,1926.72,2851.62,1926.72,1570.64,1599.55,1401.28,-0.66%,0.0%
